Number,ID,Description
37441,202311/aec0ec2a-d34b-480e-9d6e-d2fb681d9af8,Nelarabine Injection is indicated for the treatment of T-cell acute lymphoblastic leukemia (T-ALL) and T-cell lymphoblastic lymphoma (T-LBL) in adult and pediatric patients age 1 year and older whose disease has not responded to or has relapsed following treatment with at least two chemotherapy regimens.
3148,201204/7675b274-767c-48c5-97ef-a53cbd5be28a,"TEMOVATE ® Gel is a super-high potency cor-ticosteroid formulation indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Treatment beyond 2 consecutive weeks is not recommended, and the total dosage should not exceed 50 g/week because of the potential for the drug to suppress the hypothalamic-pituitary-adrenal (HPA) axis. Use in pediatric patients under 12 years of age is not recommended."
41400,202401/0e2179c1-097f-69b4-e063-6394a90aa6e8,"Baclofen is useful for the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. Patients should have reversible spasticity so that baclofen treatment will aid in restoring residual function. Baclofen may also be of some value in patients with spinal cord injuries and other spinal cord diseases. Baclofen is not indicated in the treatment of skeletal muscle spasm resulting from rheumatic disorders. The efficacy of baclofen in stroke, cerebral palsy, and Parkinsons disease has not been established and, therefore, it is not recommended for these conditions."
35594,202310/079db405-aab1-a400-e063-6294a90a1489,Fenoprofen is indicated for: Relief of mild to moderate pain in adults. Relief of the signs and symptoms of rheumatoid arthrites. Relief of the signs and symptoms of osteoarthritis.
19186,202203/1fb9f1ec-711f-47f5-8138-1d762e6c8255,"Diclofenac sodium topical gel is indicated for the relief of the pain of osteoarthritis of joints amenable to topical treatment, such as the knees and those of the hands. Diclofenac sodium topical gel has not been evaluated for use on the spine, hip, or shoulder."
42409,202401/76cf0ee3-d8e2-4f96-99d7-a8ffc739fcd8,"Fenofibrate is a peroxisome proliferator-activated receptor (PPAR) alpha agonist indicated as an adjunct to diet: • To reduce elevated LDL-C, Total-C, TG and Apo B, and to increase HDL-C in adult patients with primary hypercholesterolemia or mixed dyslipidemia (1.1). • For treatment of adult patients with severe hypertriglyceridemia (1.2). Limitations of Use: Fenofibrate was not shown to reduce coronary heart disease morbidity and mortality in patients with type 2 diabetes mellitus (5.1)."
22612,202211/ed0c3c4f-d0a9-26b5-e053-2a95a90ad06f,"Diclona Gel is indicated for relief of pain associated with arthritis, backache, cramps, discomfort, neckache, soreness, sprains, strains. It should be applied only to intact skin. Sun avoidance is indicated during therapy."
20996,202208/5ebc3c8b-7e36-4c3c-807a-110b2a21c639,"Gabapentin is indicated for: •Adjunctive therapy in the treatment of partial onset seizures, with and without secondary generalization, in adults and pediatric patients 3 years and older with epilepsy"
1750,201102/2db62c07-21be-4378-82fc-a1bd9dc6e3ba,Fexofenadine hydrochloride is an H1-receptor antagonist indicated for: • Relief of symptoms associated with seasonal allergic rhinitis in patients 6 years of age and older ( 1.1) • Treatment of uncomplicated skin manifestations of chronic idiopathic urticaria in patients 6 years of age and older ( 1.2)
13919,202102/bb14cafb-a8f7-5b6a-e053-2995a90ab47a,Nortriptyline hydrochloride is indicated for the relief of symptoms of depression. Endogenous depressions are more likely to be alleviated than are other depressive states.
